,confirmed,country,date,deaths,province,recovered
26,1,Mainland China,2020-01-23,0,Shanxi,0
27,8,Mainland China,2020-01-23,0,Sichuan,0
21,1,Mainland China,2020-01-23,0,Ningxia,0
29,4,Mainland China,2020-01-23,0,Tianjin,0
30,0,Mainland China,2020-01-23,0,Tibet,0
31,1,US,2020-01-23,0,Washington,0
32,2,Mainland China,2020-01-23,0,Xinjiang,0
28,1,Taiwan,2020-01-23,0,Taiwan,0
18,5,Mainland China,2020-01-24,0,Shaanxi,0
17,5,Mainland China,2020-01-24,0,Yunnan,0
16,8,Mainland China,2020-01-24,0,Tianjin,0
15,8,Mainland China,2020-01-24,0,Hainan,0
14,9,Mainland China,2020-01-24,0,Jiangsu,0
13,9,Mainland China,2020-01-24,0,Henan,0
12,10,Mainland China,2020-01-24,0,Fujian,0
11,15,Mainland China,2020-01-24,0,Anhui,0
10,15,Mainland China,2020-01-24,0,Shandong,0
8,18,Mainland China,2020-01-24,0,Jiangxi,0
7,20,Mainland China,2020-01-24,0,Shanghai,1
6,23,Mainland China,2020-01-24,0,Guangxi,0
4,27,Mainland China,2020-01-24,0,Chongqing,0
3,36,Mainland China,2020-01-24,0,Beijing,1
2,43,Mainland China,2020-01-24,0,Zhejiang,1
1,53,Mainland China,2020-01-24,0,Guangdong,2
0,549,Mainland China,2020-01-24,24,Hubei,31
19,4,Mainland China,2020-01-24,1,Heilongjiang,
9,15,Mainland China,2020-01-24,0,Sichuan,0
5,24,Mainland China,2020-01-24,0,Hunan,0
20,4,Mainland China,2020-01-24,0,Liaoning,0
22,3,Mainland China,2020-01-24,0,Jilin,0
21,3,Mainland China,2020-01-24,0,Guizhou,0
40,2,France,2020-01-24,0,,0
39,2,Vietnam,2020-01-24,0,,0
38,3,Singapore,2020-01-24,0,,0
37,2,South Korea,2020-01-24,0,,0
36,5,Thailand,2020-01-24,0,,0
35,2,Japan,2020-01-24,0,,0
34,1,US,2020-01-24,0,Chicago,0
33,1,US,2020-01-24,0,Washington,0
30,1,Mainland China,2020-01-24,0,Shanxi,0
31,1,Mainland China,2020-01-24,0,Inner Mongolia,0
32,,Mainland China,2020-01-24,0,Qinghai,0
24,2,Mainland China,2020-01-24,0,Ningxia,0
25,2,Hong Kong,2020-01-24,0,Hong Kong,0
26,2,Macau,2020-01-24,0,Macau,0
23,3,Taiwan,2020-01-24,0,Taiwan,0
28,2,Mainland China,2020-01-24,0,Gansu,0
29,2,Mainland China,2020-01-24,0,Xinjiang,0
27,2,Mainland China,2020-01-24,1,Hebei,
19,13,Mainland China,2020-01-25,0,Tianjin,0
18,15,Mainland China,2020-01-25,0,Shaanxi,0
17,15,Mainland China,2020-01-25,0,Heilongjiang,0
0,1052,Mainland China,2020-01-25,52,Hubei,42
15,19,Mainland China,2020-01-25,0,Liaoning,0
14,19,Mainland China,2020-01-25,0,Hainan,0
13,31,Mainland China,2020-01-25,0,Jiangsu,1
12,33,Mainland China,2020-01-25,0,Guangxi,0
11,36,Mainland China,2020-01-25,0,Jiangxi,0
10,39,Mainland China,2020-01-25,0,Shandong,0
8,44,Mainland China,2020-01-25,0,Sichuan,0
20,13,Mainland China,2020-01-25,1,Hebei,
6,60,Mainland China,2020-01-25,0,Anhui,0
5,69,Mainland China,2020-01-25,0,Hunan,0
4,75,Mainland China,2020-01-25,0,Chongqing,0
3,83,Mainland China,2020-01-25,1,Henan,
2,98,Mainland China,2020-01-25,0,Guangdong,2
1,104,Mainland China,2020-01-25,0,Zhejiang,1
9,40,Mainland China,2020-01-25,1,Shanghai,1
7,51,Mainland China,2020-01-25,0,Beijing,2
16,18,Mainland China,2020-01-25,1,Fujian,
23,7,Mainland China,2020-01-25,0,Inner Mongolia,0
22,9,Mainland China,2020-01-25,0,Shanxi,0
42,1,Nepal,2020-01-25,0,,0
41,4,Australia,2020-01-25,0,,0
40,3,France,2020-01-25,0,,0
39,2,Vietnam,2020-01-25,0,,0
38,3,Singapore,2020-01-25,0,,0
37,3,South Korea,2020-01-25,0,,0
36,7,Thailand,2020-01-25,0,,0
35,2,Japan,2020-01-25,0,,0
34,1,US,2020-01-25,0,Illinois,0
43,3,Malaysia,2020-01-25,0,,0
32,1,Mainland China,2020-01-25,0,Qinghai,0
33,1,US,2020-01-25,0,Washington,0
24,7,Mainland China,2020-01-25,0,Gansu,0
25,5,Mainland China,2020-01-25,0,Guizhou,0
26,5,Hong Kong,2020-01-25,0,Hong Kong,0
21,11,Mainland China,2020-01-25,0,Yunnan,0
28,4,Mainland China,2020-01-25,0,Jilin,0
29,4,Mainland China,2020-01-25,0,Xinjiang,0
30,3,Taiwan,2020-01-25,0,Taiwan,0
31,2,Macau,2020-01-25,0,Macau,0
27,4,Mainland China,2020-01-25,0,Ningxia,0
29,5,Mainland China,2020-01-26,0,Xinjiang,0
30,4,Mainland China,2020-01-26,0,Ningxia,0
31,4,Taiwan,2020-01-26,0,Taiwan,0
32,4,Mainland China,2020-01-26,0,Qinghai,0
33,1,US,2020-01-26,0,Washington,0
34,1,US,2020-01-26,0,Illinois,0
35,2,US,2020-01-26,0,California,0
36,1,US,2020-01-26,0,Arizona,0
39,3,South Korea,2020-01-26,0,,0
38,8,Thailand,2020-01-26,,,2
40,4,Singapore,2020-01-26,0,,0
41,2,Vietnam,2020-01-26,0,,0
43,4,Australia,2020-01-26,0,,0
44,1,Nepal,2020-01-26,0,,0
45,4,Malaysia,2020-01-26,0,,0
46,1,Canada,2020-01-26,0,Ontario,0
28,6,Macau,2020-01-26,0,Macau,0
37,4,Japan,2020-01-26,,,1
42,3,France,2020-01-26,0,,0
27,6,Mainland China,2020-01-26,0,Jilin,0
25,8,Hong Kong,2020-01-26,0,Hong Kong,0
26,7,Mainland China,2020-01-26,0,Guizhou,0
1,146,Mainland China,2020-01-26,,Guangdong,2
2,128,Mainland China,2020-01-26,,Zhejiang,1
3,128,Mainland China,2020-01-26,1,Henan,0
4,110,Mainland China,2020-01-26,0,Chongqing,0
5,100,Mainland China,2020-01-26,0,Hunan,0
6,70,Mainland China,2020-01-26,0,Anhui,0
7,69,Mainland China,2020-01-26,0,Sichuan,0
8,68,Mainland China,2020-01-26,,Beijing,2
9,63,Mainland China,2020-01-26,0,Shandong,0
10,53,Mainland China,2020-01-26,1,Shanghai,1
11,48,Mainland China,2020-01-26,0,Jiangxi,0
0,1423,Mainland China,2020-01-26,76,Hubei,44
13,46,Mainland China,2020-01-26,0,Guangxi,0
24,11,Mainland China,2020-01-26,0,Inner Mongolia,0
23,13,Mainland China,2020-01-26,0,Shanxi,0
22,14,Mainland China,2020-01-26,0,Gansu,0
12,47,Mainland China,2020-01-26,,Jiangsu,1
20,18,Mainland China,2020-01-26,1,Hebei,0
21,14,Mainland China,2020-01-26,0,Tianjin,0
18,21,Mainland China,2020-01-26,1,Heilongjiang,0
17,22,Mainland China,2020-01-26,0,Shaanxi,0
16,22,Mainland China,2020-01-26,0,Hainan,0
15,23,Mainland China,2020-01-26,0,Liaoning,0
14,35,Mainland China,2020-01-26,0,Fujian,0
19,19,Mainland China,2020-01-26,0,Yunnan,0
14,51,Mainland China,2020-01-27,0,Guangxi,0
15,35,Mainland China,2020-01-27,0,Shaanxi,0
16,33,Mainland China,2020-01-27,1,Hainan,0
17,33,Mainland China,2020-01-27,1,Hebei,0
22,20,Mainland China,2020-01-27,0,Shanxi,0
19,27,Mainland China,2020-01-27,0,Liaoning,0
20,26,Mainland China,2020-01-27,0,Yunnan,0
21,23,Mainland China,2020-01-27,0,Tianjin,0
13,59,Mainland China,2020-01-27,0,Fujian,0
18,30,Mainland China,2020-01-27,1,Heilongjiang,0
12,66,Mainland China,2020-01-27,1,Shanghai,3
5,106,Mainland China,2020-01-27,0,Anhui,0
10,72,Mainland China,2020-01-27,,Jiangxi,2
9,80,Mainland China,2020-01-27,1,Beijing,2
8,87,Mainland China,2020-01-27,1,Shandong,0
7,90,Mainland China,2020-01-27,0,Sichuan,0
6,100,Mainland China,2020-01-27,0,Hunan,0
4,132,Mainland China,2020-01-27,0,Chongqing,0
3,151,Mainland China,2020-01-27,,Guangdong,4
2,168,Mainland China,2020-01-27,1,Henan,0
1,173,Mainland China,2020-01-27,,Zhejiang,1
0,2714,Mainland China,2020-01-27,100,Hubei,47
23,19,Mainland China,2020-01-27,0,Gansu,0
11,70,Mainland China,2020-01-27,,Jiangsu,1
24,11,Mainland China,2020-01-27,0,Inner Mongolia,0
26,8,Hong Kong,2020-01-27,0,Hong Kong,0
44,4,Malaysia,2020-01-27,0,,0
25,9,Mainland China,2020-01-27,0,Guizhou,0
50,1,Australia,2020-01-27,0,Victoria,0
49,4,Australia,2020-01-27,0,New South Wales,0
48,0,Ivory Coast,2020-01-27,0,,0
47,1,Sri Lanka,2020-01-27,0,,0
46,1,Cambodia,2020-01-27,0,,0
45,1,Canada,2020-01-27,0,Ontario,0
51,1,Germany,2020-01-27,0,Bavaria,0
43,1,Nepal,2020-01-27,0,,0
42,3,France,2020-01-27,0,,0
41,2,Vietnam,2020-01-27,0,,0
39,4,South Korea,2020-01-27,0,,0
40,5,Singapore,2020-01-27,0,,0
37,4,Japan,2020-01-27,,,1
36,1,US,2020-01-27,0,Arizona,0
35,2,US,2020-01-27,0,California,0
34,1,US,2020-01-27,0,Illinois,0
33,1,US,2020-01-27,0,Washington,0
32,5,Mainland China,2020-01-27,0,Xinjiang,0
31,5,Taiwan,2020-01-27,0,Taiwan,0
30,6,Mainland China,2020-01-27,0,Qinghai,0
29,6,Macau,2020-01-27,0,Macau,0
28,6,Mainland China,2020-01-27,0,Jilin,0
27,7,Mainland China,2020-01-27,0,Ningxia,0
38,8,Thailand,2020-01-27,,,2
17,44,Mainland China,2020-01-28,0,Yunnan,0
15,56,Mainland China,2020-01-28,0,Shaanxi,0
16,48,Mainland China,2020-01-28,1,Hebei,0
18,43,Mainland China,2020-01-28,1,Hainan,0
23,24,Mainland China,2020-01-28,0,Gansu,0
20,36,Mainland China,2020-01-28,0,Liaoning,0
21,27,Mainland China,2020-01-28,0,Shanxi,0
22,25,Mainland China,2020-01-28,0,Tianjin,0
14,58,Mainland China,2020-01-28,,Guangxi,2
19,37,Mainland China,2020-01-28,1,Heilongjiang,0
13,80,Mainland China,2020-01-28,1,Shanghai,4
0,3554,Mainland China,2020-01-28,125,Hubei,80
11,91,Mainland China,2020-01-28,1,Beijing,4
10,99,Mainland China,2020-01-28,,Jiangsu,1
9,108,Mainland China,2020-01-28,0,Sichuan,0
8,109,Mainland China,2020-01-28,,Jiangxi,3
7,121,Mainland China,2020-01-28,0,Shandong,0
6,147,Mainland China,2020-01-28,,Chongqing,1
5,152,Mainland China,2020-01-28,0,Anhui,0
4,206,Mainland China,2020-01-28,2,Henan,1
3,221,Mainland China,2020-01-28,0,Hunan,0
2,241,Mainland China,2020-01-28,,Guangdong,5
1,296,Mainland China,2020-01-28,,Zhejiang,3
12,82,Mainland China,2020-01-28,0,Fujian,0
24,16,Mainland China,2020-01-28,0,Inner Mongolia,0
36,1,US,2020-01-28,0,Arizona,0
26,12,Mainland China,2020-01-28,0,Ningxia,0
25,13,Mainland China,2020-01-28,0,Xinjiang,0
51,4,Germany,2020-01-28,0,Bavaria,0
50,1,Australia,2020-01-28,0,Victoria,0
49,4,Australia,2020-01-28,0,New South Wales,0
48,1,Sri Lanka,2020-01-28,0,,0
47,1,Cambodia,2020-01-28,0,,0
46,1,Canada,2020-01-28,0,British Columbia,0
44,7,Malaysia,2020-01-28,0,,0
43,1,Nepal,2020-01-28,0,,0
42,4,France,2020-01-28,0,,0
41,2,Vietnam,2020-01-28,0,,0
40,7,Singapore,2020-01-28,0,,0
45,1,Canada,2020-01-28,0,Ontario,0
38,14,Thailand,2020-01-28,,,5
37,7,Japan,2020-01-28,,,1
35,2,US,2020-01-28,0,California,0
34,1,US,2020-01-28,0,Illinois,0
27,9,Mainland China,2020-01-28,0,Guizhou,0
33,1,US,2020-01-28,0,Washington,0
32,6,Mainland China,2020-01-28,0,Qinghai,0
31,7,Macau,2020-01-28,0,Macau,0
30,8,Taiwan,2020-01-28,0,Taiwan,0
29,8,Hong Kong,2020-01-28,0,Hong Kong,0
28,9,Mainland China,2020-01-28,0,Jilin,0
39,4,South Korea,2020-01-28,0,,0
16,56,Mainland China,2020-01-29,0,Shaanxi,0
17,55,Mainland China,2020-01-29,0,Yunnan,0
18,43,Mainland China,2020-01-29,1,Hainan,0
19,43,Mainland China,2020-01-29,1,Heilongjiang,0
25,14,Mainland China,2020-01-29,,Jilin,1
21,35,Mainland China,2020-01-29,,Shanxi,1
22,27,Mainland China,2020-01-29,0,Tianjin,0
23,26,Mainland China,2020-01-29,0,Gansu,0
24,16,Mainland China,2020-01-29,0,Inner Mongolia,0
15,65,Mainland China,2020-01-29,1,Hebei,0
20,39,Mainland China,2020-01-29,,Liaoning,1
14,78,Mainland China,2020-01-29,,Guangxi,2
2,311,Mainland China,2020-01-29,,Guangdong,6
12,101,Mainland China,2020-01-29,1,Shanghai,5
11,111,Mainland China,2020-01-29,1,Beijing,4
10,129,Mainland China,2020-01-29,,Jiangsu,1
9,142,Mainland China,2020-01-29,1,Sichuan,1
8,145,Mainland China,2020-01-29,,Shandong,1
7,162,Mainland China,2020-01-29,,Jiangxi,4
6,165,Mainland China,2020-01-29,,Chongqing,1
5,200,Mainland China,2020-01-29,,Anhui,2
4,277,Mainland China,2020-01-29,0,Hunan,0
3,278,Mainland China,2020-01-29,2,Henan,2
26,14,Mainland China,2020-01-29,0,Xinjiang,0
1,428,Mainland China,2020-01-29,,Zhejiang,4
13,101,Mainland China,2020-01-29,0,Fujian,0
27,12,Mainland China,2020-01-29,,Guizhou,1
40,4,South Korea,2020-01-29,0,,0
29,10,Hong Kong,2020-01-29,0,Hong Kong,0
55,4,United Arab Emirates,2020-01-29,0,,0
54,1,Finland,2020-01-29,0,,0
53,4,Germany,2020-01-29,0,Bavaria,0
52,1,Australia,2020-01-29,0,Queensland,0
51,2,Australia,2020-01-29,0,Victoria,0
50,4,Australia,2020-01-29,0,New South Wales,0
49,1,Sri Lanka,2020-01-29,0,,0
48,1,Cambodia,2020-01-29,0,,0
47,1,Canada,2020-01-29,0,British Columbia,0
46,2,Canada,2020-01-29,0,Ontario,0
45,7,Malaysia,2020-01-29,0,,0
44,1,Nepal,2020-01-29,0,,0
43,5,France,2020-01-29,0,,0
42,2,Vietnam,2020-01-29,0,,0
41,10,Singapore,2020-01-29,0,,0
39,14,Thailand,2020-01-29,,,5
38,11,Japan,2020-01-29,,,1
37,1,US,2020-01-29,0,Arizona,0
36,2,US,2020-01-29,0,California,0
35,1,US,2020-01-29,0,Illinois,0
34,1,US,2020-01-29,0,Washington,0
33,1,Mainland China,2020-01-29,0,Tibet,0
32,6,Mainland China,2020-01-29,0,Qinghai,0
31,7,Macau,2020-01-29,0,Macau,0
30,8,Taiwan,2020-01-29,0,Taiwan,0
28,12,Mainland China,2020-01-29,0,Ningxia,0
0,4586,Mainland China,2020-01-29,162,Hubei,90
